Type,Grouping,Stage,Dmel\mir-10-RA,Dana\miR-184-RB,Dana\miR-31a-RA,Dana\miR-10-RA,aae.miR.305.5p,Dana\miR-277-RA,bfl.miR.184.3p,Dana\miR-125-RA,isc.miR.10_,tur.miR.317.3p
WT,Feeding 3rd,Feeding 3rd,3693.529747,1247.091325,738.2224636,365.9383559,61.64444641,11.7849677,57.11176653,0.302178659,3.928322565,5.137037201
WT,Feeding 3rd,Feeding 3rd,4852.496417,1616.903407,1057.625906,414.7941722,52.79198555,9.526373333,57.55517222,0,3.969322222,1.786195
WT,Feeding 3rd,Feeding 3rd,5536.629594,1961.267479,1273.398898,498.7371066,55.2712984,7.772526337,65.20285983,0,4.749877206,1.295421056
WT,Early Postfeeding,Early Postfeeding,3862.438013,837.923371,656.7872299,342.5659658,28.34470166,22.13586225,38.06288509,0.26994954,0.809848619,1.619697238
WT,Early Postfeeding,Early Postfeeding,4079.402197,703.5352312,605.0770369,380.239668,35.26860689,12.85834626,43.35099597,0.367381322,1.102143965,1.836906609
WT,Early Postfeeding,Early Postfeeding,3272.199877,667.7826749,564.0205173,331.8834555,29.79437735,17.4880041,28.49896964,0.388622313,0.906785398,2.849896964
WT,Late Postfeeding,Late Postfeeding,1373.063343,242.9608837,267.479872,100.304952,120.3659424,46.8089776,8.915995733,0,4.457997866,13.3739936
WT,Late Postfeeding,Late Postfeeding,1973.039215,233.095334,266.1798331,152.6398478,58.64979372,35.34026032,12.78264735,6.767283891,6.767283891,8.271124756
WT,Late Postfeeding,Late Postfeeding,1918.609168,537.2105669,219.2696191,197.3426572,76.7443667,51.16291113,32.89044287,7.308987305,21.92696191,36.54493652
Control,Control EPF,Early Postfeeding,2973.960241,372.5553038,397.1193898,206.0653878,189.3481627,55.95152915,19.44656806,0,3.411678607,10.57620368
Control,Control EPF,Early Postfeeding,4790.840901,281.5872671,399.8796351,303.4456395,186.4390582,52.71725093,16.7152259,1.285786608,1.285786608,10.28629286
Control,Control EPF,Early Postfeeding,5371.815638,309.5208404,459.4681375,352.098468,233.9918315,32.5811411,18.14177175,0.37024024,3.332162158,2.591681678
Fast,Fast EPF,Early Postfeeding,4820.848034,213.4954489,330.8785555,290.7004452,266.2784566,23.63418254,14.18050952,0.525204056,4.464234479,6.302448677
Fast,Fast EPF,Early Postfeeding,6345.334133,427.8377656,506.1820837,411.1687617,251.7019582,22.22533847,25.55913924,0,2.222533847,7.223235003
Fast,Fast EPF,Early Postfeeding,5627.207767,427.8292703,528.0582534,344.3051178,270.9894727,29.23345339,22.73713042,0,3.712184558,10.20850753
Slow,Slow EPF,Early Postfeeding,5300.344377,837.3438991,369.7914681,327.2867017,51.00571974,153.0171592,29.75333652,0,165.7685892,0
Slow,Slow EPF,Early Postfeeding,3466.834077,1066.718178,373.3513622,243.8212978,83.8135711,114.2912333,53.33590888,0,0,7.619415555
Slow,Slow EPF,Early Postfeeding,5655.936414,910.8811453,254.1993894,395.4212724,77.67203565,141.221883,28.2443766,0,861.4534863,21.18328245
