Type,Grouping,Stage,Dana\miR-8-RA,Dmel\bft-RA,Dana\miR-184-RB,Dmel\mir-33-RA,Dmel\mir-10-RB,Dana\miR-9a-RA,aae.miR.305.5p,Dvir\miR-315a-RA,Dmel\mir-375-RA,Dana\let-7-RA,Dana\miR-125-RA,aae.miR.276.3p,hme.let.7,Dmel\mir-957-RA,oha.miR.125b.5p,Dvir\miR-125-RA,mse.let.7a
WT,Early,Early Puparial,3327.999834,788.5116525,249.4855446,120.1650559,74.38789174,231.174679,97.27647382,77.82117905,18.31086566,13.73314924,10.29986193,8.011003726,17.16643656,3.433287311,1.144429104,0,0
WT,Early,Early Puparial,2819.299975,805.8610347,251.2247503,108.0145062,95.87804479,362.8801949,83.74158343,95.87804479,20.63198432,29.12750728,30.34115342,6.068230683,20.63198432,1.213646137,3.64093841,2.427292273,1.213646137
WT,Early,Early Puparial,2592.784817,699.9943472,182.7323373,145.3225674,58.99232936,296.4004841,79.85547023,129.4953571,18.70488492,17.26604762,19.42430357,7.194186507,15.10779167,5.035930555,4.316511904,0.719418651,0.719418651
WT,Mid 1,Mid Puparial 1,2229.595513,1030.817423,264.5654942,86.72478855,40.61793894,344.7035899,66.96471015,124.0493811,12.07560347,64.76914588,100.9959563,12.07560347,28.54233547,17.56451414,9.880039202,1.097782134,8.782257068
WT,Mid 1,Mid Puparial 1,1704.756547,849.6579175,322.8156015,81.61068578,38.0849867,248.4591989,50.77998226,79.79711498,20.85606414,56.22069465,56.22069465,22.66963494,40.80534289,8.161068578,5.440712385,4.533926988,3.62714159
WT,Mid 1,Mid Puparial 1,1869.345127,1172.872547,419.7916924,78.2339063,40.7070732,299.5786168,52.79198555,72.50947414,12.08491236,54.70012961,64.87689791,17.80934452,26.71401679,15.90120047,5.08838415,1.908144056,4.452336131
WT,Mid 2,Mid Puparial 2,2183.28385,1965.148505,490.3219256,81.07685384,23.16481538,241.3001602,54.05123589,19.30401282,7.721605128,146.7104974,106.1720705,36.67762436,69.49444615,27.02561795,11.58240769,11.58240769,1.930401282
WT,Mid 2,Mid Puparial 2,1929.639326,4282.92879,734.1334578,84.14968489,52.2308389,156.6925167,46.42741235,11.60685309,2.901713272,255.3507679,179.9062229,23.21370618,66.73940526,26.11541945,46.42741235,20.3119929,14.50856636
WT,Mid 2,Mid Puparial 2,894.0477662,6697.949011,844.652862,64.21337547,44.45541379,138.3057318,44.45541379,0,0,380.3407624,311.1878965,24.69745211,380.3407624,9.878980842,49.39490421,29.63694253,14.81847126
WT,Late,Late Puparial,2848.245745,643.308588,500.351124,56.94068481,32.71060617,75.1132438,19.38406292,10.90353539,8.480527526,112.6698657,111.4583618,33.9221101,15.74955112,42.40263763,16.96105505,18.17255898,8.480527526
WT,Late,Late Puparial,3194.271406,1394.758919,415.6928542,38.28749973,32.81785691,114.8624992,43.75714255,0,5.469642819,175.0285702,207.8464271,27.34821409,16.40892846,92.98392792,21.87857128,32.81785691,5.469642819
WT,Late,Late Puparial,3768.063676,515.2250333,238.387702,99.96903631,53.82948109,64.08271559,28.19639486,5.126617247,5.126617247,117.9121967,76.8992587,38.44962935,12.81654312,35.88632073,5.126617247,10.25323449,15.37985174
Control,Control Mid,Mid Puparial 1,3221.069462,927.9658533,444.899097,138.6211923,190.6041394,134.4063588,75.16453165,68.13980906,11.94202839,2.809889034,1.639101936,10.06876904,0.702472258,3.746518711,0.234157419,0.234157419,0
Control,Control Mid,Mid Puparial 1,3638.979009,1164.768535,518.9051203,134.3395902,207.4144222,80.45612818,111.4575721,45.0259066,12.54820348,1.476259233,0,16.97698118,2.214388849,0.738129616,0,0,0
Control,Control Mid,Mid Puparial 1,1945.744689,3666.568431,1895.762256,70.21341689,141.6168917,52.36254819,49.98243237,36.89179532,21.42104244,1.190057913,4.760231654,15.47075288,0,3.57017374,1.190057913,1.190057913,0
Fast,Fast Mid,Mid Puparial 1,5519.935643,1210.043603,406.5334827,191.6269943,325.422824,163.2015066,98.0189229,35.04176494,33.57148109,0.980189229,0.245047307,14.94788574,0.490094615,1.715331151,0,0,0
Fast,Fast Mid,Mid Puparial 1,5053.675964,1912.258698,552.3834387,204.5083724,244.5667133,111.741688,90.65835063,33.73333977,29.5166723,0,2.108333736,16.86666989,0,8.433334943,0,0,0
Fast,Fast Mid,Mid Puparial 1,7117.954049,1115.220562,527.5069016,330.1403738,299.4389139,113.2365533,167.0637882,55.82083615,28.70785859,1.196160775,1.196160775,14.35392929,0,2.791041807,0,0,0
Slow,Slow Mid,Mid Puparial 1,1332.811613,8236.002106,1097.19584,42.19984,45.71649333,119.5662133,35.16653333,0,0,569.6978399,397.3818266,14.06661333,312.9821466,3.516653333,59.78310666,52.74979999,17.58326666
Slow,Slow Mid,Mid Puparial 1,1166.51208,8143.480108,1466.931642,48.22788959,50.23738499,169.8023613,24.1139448,4.0189908,12.0569724,312.4765347,313.4812824,18.0854586,209.9922693,8.037981599,39.1851603,26.1234402,10.047477
Slow,Slow Mid,Mid Puparial 1,1229.989631,8687.996705,1454.637996,65.3232835,65.3232835,114.7140588,15.93250817,1.593250817,6.373003268,551.2647827,363.2611863,22.30551144,307.4974077,17.52575899,84.4422933,38.23801961,19.1190098
